2019-10-31 21:04:24 info: [交割合约] - 获取公共交割合约全量信息成功，共: 27 条 ...
2019-11-01 10:23:04 info: [交割合约] - 获取公共交割合约全量信息成功，共: 27 条 ...
2019-11-01 10:23:13 info: [交割合约] - 公共交割合约全量信息更新数据库成功 ...
2019-11-01 10:23:14 info: [永续合约] - 获取公共合约全量信息成功，共: 9 条 ...
2019-11-01 10:23:15 info: [永续合约] - 公共合约全量信息更新数据库成功 ...
2019-11-01 10:23:15 info: 获取合约candle数据需请求 2970 次 ...
2019-11-01 10:23:44 info: 获取 BTC-USD-191108/60 K线成功: 从2019-10-31T16:23:15.795Z至2019-10-31T19:43:15.795Z, 共 200 条
2019-11-01 10:23:44 info: 获取 BTC-USD-191108/60 K线成功: 从2019-10-31T23:03:15.788Z至2019-11-01T02:23:15.794Z, 共 200 条
2019-11-01 10:23:44 info: 获取 BTC-USD-191108/60 K线成功: 从2019-10-31T13:03:15.795Z至2019-10-31T16:23:15.795Z, 共 200 条
2019-11-01 10:23:44 info: 获取 BTC-USD-191108/60 K线成功: 从2019-10-31T09:43:15.795Z至2019-10-31T13:03:15.795Z, 共 200 条
2019-11-01 10:23:46 info: 获取 BTC-USD-191101/21600 K线成功: 从2018-11-16T02:23:15.799Z至2019-01-05T02:23:15.799Z, 共 0 条
2019-11-01 10:23:46 info: 获取 BTC-USD-191108/180 K线成功: 从2019-10-30T20:23:15.795Z至2019-10-31T06:23:15.795Z, 共 200 条
2019-11-01 10:23:46 info: 获取 BTC-USD-191108/180 K线成功: 从2019-10-30T00:23:15.795Z至2019-10-30T10:23:15.795Z, 共 200 条
2019-11-01 10:23:46 info: 获取 BTC-USD-191108/180 K线成功: 从2019-10-31T06:23:15.795Z至2019-10-31T16:23:15.795Z, 共 200 条
2019-11-01 10:23:47 info: 获取 BTC-USD-191108/180 K线成功: 从2019-10-30T10:23:15.795Z至2019-10-30T20:23:15.795Z, 共 200 条
2019-11-01 10:23:47 info: 获取 BTC-USD-191108/180 K线成功: 从2019-10-31T16:23:15.795Z至2019-11-01T02:23:15.795Z, 共 200 条
2019-11-01 10:23:47 info: 获取 BTC-USD-191101/21600 K线成功: 从2019-01-05T02:23:15.799Z至2019-02-24T02:23:15.799Z, 共 0 条
2019-11-01 10:23:47 info: 获取 BTC-USD-191101/180 K线成功: 从2019-10-27T22:23:15.796Z至2019-10-28T08:23:15.796Z, 共 0 条
2019-11-01 10:23:48 info: 获取 BTC-USD-191108/300 K线成功: 从2019-10-28T15:03:15.796Z至2019-10-29T07:43:15.796Z, 共 200 条
2019-11-01 10:23:48 info: 获取 BTC-USD-191108/300 K线成功: 从2019-10-30T17:03:15.796Z至2019-10-31T09:43:15.796Z, 共 200 条
2019-11-01 10:23:48 info: 获取 BTC-USD-191108/300 K线成功: 从2019-10-29T07:43:15.796Z至2019-10-30T00:23:15.796Z, 共 200 条
2019-11-01 10:23:48 info: 获取 BTC-USD-191108/300 K线成功: 从2019-10-31T09:43:15.796Z至2019-11-01T02:23:15.796Z, 共 200 条
2019-11-01 10:23:48 info: 获取 BTC-USD-191108/300 K线成功: 从2019-10-30T00:23:15.796Z至2019-10-30T17:03:15.796Z, 共 200 条
2019-11-01 10:23:49 info: 获取 BTC-USD-191101/180 K线成功: 从2019-10-28T08:23:15.796Z至2019-10-28T18:23:15.796Z, 共 0 条
2019-11-01 10:23:54 info: 获取 BTC-USD-191101/180 K线成功: 从2019-10-28T18:23:15.796Z至2019-10-29T04:23:15.796Z, 共 40 条
2019-11-01 10:23:54 info: 获取 BTC-USD-191101/180 K线成功: 从2019-10-29T04:23:15.796Z至2019-10-29T14:23:15.796Z, 共 200 条
2019-11-01 10:23:54 info: 获取 BTC-USD-191101/180 K线成功: 从2019-10-29T14:23:15.795Z至2019-10-30T00:23:15.796Z, 共 200 条
